"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"LimiteUrbano","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Limite urbano censal de la region","Limite urbano censal de la region","","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LimiteUrbano","Extension.id","Extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LimiteUrbano","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LimiteUrbano","Extension.url","Extension.url","","","",1,1,"Y","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://interoperabilidad.minsal.cl/fhir/ig/eis/StructureDefinition/LimiteUrbano""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"LimiteUrbano","Extension.value[x]","Extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Codigo limite urbano","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","https://interoperabilidad.minsal.cl/fhir/ig/eis/ValueSet/eis-limite-urbano-censal-vs","",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion","ModeloLogicoEISDireccion","","","",0,*,"","","","null {[]} {[]}
","Modelo Logico para el tipo de dato Direccion","Modelo Logico para el tipo de dato Nombre","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.Region","ModeloLogicoEISDireccion.Region","","","",0,1,"","","Y","Coding {[]} {[]}
","Es la máxima unidad administrativa en que se divide el país. La regionalización que actualmente rige en el país, comenzó a aplicarse en 1974. Actualmente existen 16 regiones","Es la máxima unidad administrativa en que se divide el país. La regionalización que actualmente rige en el país, comenzó a aplicarse en 1974. Actualmente existen 16 regiones","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.Region",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.Provincia","ModeloLogicoEISDireccion.Provincia","","","",0,1,"","","Y","Coding {[]} {[]}
","Es una subdivisión administrativa menor que la región y que puede abarcar varias comunas","Es una subdivisión administrativa menor que la región y que puede abarcar varias comunas","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.Provincia",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.Comuna","ModeloLogicoEISDireccion.Comuna","","","",1,1,"","","Y","Coding {[]} {[]}
","Es una subdivisión administrativa menor que la región que corresponde a una zona urbana, rural o mixta","Es una subdivisión administrativa menor que la región que corresponde a una zona urbana, rural o mixta","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.Comuna",1,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.LimiteUrbanoCensalREVISAR","ModeloLogicoEISDireccion.LimiteUrbanoCensalREVISAR","","","",0,1,"","","Y","Coding {[]} {[]}
","Indica si la dirección se encuentra dentro del área urbana o rural, según la clasificación oficial del Instituto Nacional de Estadísticas (INE) de Chile.","Indica si la dirección se encuentra dentro del área urbana o rural, según la clasificación oficial del Instituto Nacional de Estadísticas (INE) de Chile.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.LimiteUrbanoCensalREVISAR",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.TipoDeVia","ModeloLogicoEISDireccion.TipoDeVia","","","",0,1,"","","Y","Coding {[]} {[]}
","Corresponde al tipo o clasificación de calle. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al tipo o clasificación de calle. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.TipoDeVia",0,1,"",""
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia","ModeloLogicoEISDireccion.DatoDeLaVia","","","",2,*,"","","Y","Element {[]} {[]}
","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","Corresponde al nombre de la calle, avenida, pasaje, etc. Puede utilizarse para datos de ubicación tanto de prestadores individuales, institucionales como usuarios del sistema de salud.","","","","","","","","","",,,,,"",,,,"ModeloLogicoEISDireccion.DatoDeLaVia",2,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ModeloLogicoEISDireccion","ModeloLogicoEISDireccion.DatoDeLaVia.id","ModeloLogicoEISDireccion.DatoDeLaVia.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
