URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-CondiciondelaActividadLaboral-CS,0.1.1,active,,CondiciondelaActividadLaboralCS,Condición de la Actividad Laboral,"La condición de la actividad corresponde a la relación que mantiene la persona con el trabajo al momento del registro, y se vincula con su ciclo de vida laboral, permitiendo identificar su situación de actividad económica. ","ValueSet/eis-CondiciondelaActividadLaboral-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-EspecialidadesySubespecialidadesMedicas-CS,0.1.1,active,,EspecialidadesySubespecialidadesMedicasCS,Especialidades y Subespecialidades Médicas,"La certificación de especialidades y subespecialidades médicas corresponden al proceso mediante el cual se reconoce oficialmente que un prestador individual de salud posee y domina un conjunto de conocimientos, competencias y experiencias específicas, relevantes para el ejercicio profesional en un ámbito determinado de la atención de salud.","ValueSet/eis-EspecialidadesySubespecialidadesMedicas-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-EstadoCivil-CS,0.1.1,active,,EstadoCivilCS,Estado Civil,"El estado civil es la situación de un individuo jurídica de una persona dentro de la sociedad, determinada principalmente por sus relaciones de familia, que la habilita para ejercer determinados derechos y contraer obligaciones de carácter civil.","ValueSet/eis-EstadoCivil-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-GES-CS,0.1.1,active,,GESCS,GES (Garantías Explícitas en Salud),"El GES (Garantías Explícitas en Salud), anteriormente conocido como AUGE, es un sistema legal de salud en Chile para afiliados a Fonasa e Isapres. Garantiza cobertura para 87 problemas de salud específicos, asegurando acceso, calidad, oportunidad y protección financiera (copagos limitados). Se aplica a través de redes de prestadores acreditados.","ValueSet/eis-GES-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-GruposdeOcupaciones-CS,0.1.1,active,,GruposdeOcupacionesCS,Grupos de Ocupaciones,"La ocupación corresponde al conjunto de tareas y funciones asociadas al empleo que la persona desempeña o ha desempeñado. Una persona puede estar vinculada a una ocupación a través de su empleo principal, un empleo secundario o un empleo desempeñado anteriormente.","ValueSet/eis-GruposdeOcupaciones-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-IdentidadGenero-CS,0.1.1,active,,IdentidadGeneroCS,Identidad de Género,"De acuerdo con la Ley 21.120, la identidad de género se entiende como la convicción personal e interna de ser hombre, mujer u otra identidad de género, tal como la persona se percibe a sí misma. Esta puede o no corresponder con el sexo y nombre de pila consignadas en la inscripción de nacimiento.","ValueSet/IdentidadGeneroVS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-InstitucionEmisoradeTituloProfesionalydeEspecialidad-CS,0.1.1,active,,InstitucionEmisoradeTituloProfesionalydeEspecialidadCS,Institución Emisora de Título Profesional y de Especialidad,"La institución emisora del título profesional y/o especialidad corresponde al nombre de la institución formadora que otorga el respectivo título o certificación, acreditando que el prestador de salud ha cumplido con todas las exigencias académicas y formativas establecidas en el programa de formación correspondiente.","ValueSet/eis-InstitucionEmisoradeTituloProfesionalydeEspecialidad-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-ModalidaddeAtencionFONASA-CS,0.1.1,active,,ModalidaddeAtencionFONASACS,Modalidad de Atención FONASA,"La modalidad de atención FONASA corresponde a la forma en que  una persona afiliada voluntariamente al Fondo Nacional de Salud (FONASA) accede a las prestaciones de salud, permitiéndole contar con los servicios y la protección financiera otorgada por el Seguro Público de Salud","ValueSet/eis-ModalidaddeAtencionFONASA-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-NiveldeDiscapacidad-CS,0.1.1,active,,NiveldeDiscapacidadCS,Nivel de Discapacidad,"Las personas en situación de discapacidad son aquellas que, en relación con condiciones de salud de carácter físico, psíquico, intelectual, sensorial u otras, y al interactuar con diversas barreras contextuales, actitudinales y ambientales, presentan restricciones en su participación plena y efectiva en la sociedad, en igualdad de condiciones con las demás personas.","ValueSet/eis-NiveldeDiscapacidad-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-NiveldeInstruccion-CS,0.1.1,active,,NiveldeInstruccionCS,Ultimo nivel aprobado,"Código del último nivel aprobado","ValueSet/eis-NiveldeInstruccion-CS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-OcupacionesDesagregadas-CS,0.1.1,active,,OcupacionesDesagregadasCS,Ocupaciones Desagregadas,"Código asociados a el detalle de las ocupaciones de un paciente","ValueSet/eis-OcupacionesDesagregadas-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-OrigendeDiscapacidad-CS,0.1.1,active,,OrigendeDiscapacidadCS,Origen de Discapacidad,"El origen de la discapacidad corresponde al evento, condición o circunstancia a partir de la cual se genera una situación de discapacidad en la persona, considerando la interacción entre sus condiciones de salud y las barreras contextuales, actitudinales y ambientales.","ValueSet/eis-OrigendeDiscapacidad-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-PrevisiondeSalud-CS,0.1.1,active,,PrevisiondeSaludCS,Previsión de Salud,"La previsión corresponde a la variable que identifica el sistema de aseguramiento de salud vigente al que se encuentra adscrita la persona, el cual define la cobertura para acciones de promoción, prevención, tratamiento y control de las enfermedades.","ValueSet/eis-PrevisiondeSalud-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-PuebloAfrodescendienteChileno-CS,0.1.1,active,,PuebloAfrodescendienteChilenoCS,Pueblo Afrodescendiente Chileno,"Se entiende por pueblo afrodescendiente chileno al grupo humano que, teniendo nacionalidad chilena conforme a la Constitución Política de la República, comparte una historia, cultura, tradiciones y costumbres comunes, unidas por la conciencia de identidad y reconocimiento colectivo.","ValueSet/eis-PuebloAfrodescendienteChileno-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-PueblosOriginarios-CS,0.1.1,active,,PueblosOriginariosCS,Pueblos Indígenas u Originarios,"Los Pueblos Indígenas u Originarios en Chile corresponden a los descendientes de agrupaciones humanas que habitaban el territorio nacional en tiempos precolombinos, y que conservan manifestaciones culturales, sociales y étnicas propias, o parte de ellas, teniendo para estos pueblos la tierra un rol fundamental en su existencia y desarrollo cultural.","ValueSet/eis-PueblosOriginarios-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-Religion-CS,0.1.1,active,,ReligionCS,Religiones & Cultos,"La religión o credo corresponde a un sistema de creencias y prácticas, de carácter individual o colectivo, relacionadas con lo que la persona considera sagrado o divino, y que se vinculan a su dimensión espiritual, existencial y cultural.","ValueSet/eis-Religion-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-SEREMI-CS,0.1.1,active,,SEREMICS,SEREMI,"Corresponde a los códigos y valores asociados a cada Secretaría Regional Ministerial (SEREMI), utilizados en los sistemas de información en salud. La codificación de la SEREMI es coincidente con el código de la región, el cual prevalece para efectos de registro e interoperabilidad.","ValueSet/eis-SEREMI-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-ServiciosdeSalud-CS,0.1.1,active,,ServiciosdeSaludCS,Servicios de Salud,"Corresponde a los códigos y valores asociados a los servicios de salud del país, utilizados para la identificación territorial y administrativa de la red asistencial en los sistemas de información en salud.","ValueSet/eis-ServiciosdeSalud-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-SexoBiologico-CS,0.1.1,active,,SexoBiologicoCS,Sexo Biológico,"El sexo biológico corresponde a la determinación realizada mediante la aplicación de criterios biológicos y anatómicos, utilizados para clasificar a las personas como hombre o mujer al momento del nacimiento.","ValueSet/SexoBiologicoVS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-TipodeIdentificador-CS,0.1.1,active,,TipodeIdentificadorCS,Tipo de Identificador,"Define el tipo de documento de identificación del usuario, paciente o prestador de salud individual","ValueSet/eis-TipodeIdentificador-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-TipodeSistemadeSalud-CS,0.1.1,active,,TipodeSistemadeSaludCS,Tipo de Sistema de Salud,"Identifica el sistema de aseguramiento de salud al cual se encuentra adscrita la persona, ya sea FONASA, ISAPRE o regímenes institucionales como Capredena o Dipreca. Este dato permite determinar copagos, beneficios y las rutas de derivación dentro de la red asistencial.","ValueSet/eis-TipodeSistemadeSalud-VS"
https://interoperabilidad.minsal.cl/fhir/ig/eis/CodeSystem/eis-TituloProfesional-CS,0.1.1,active,,TituloProfesionalCS,Título Profesional,"El título profesional corresponde al documento oficial que acredita que una persona ha completado un programa formal de estudios y ha aprobado las evaluaciones, pruebas o exámenes requeridos para el ejercicio de una determinada profesión, certificando las competencias generales, científicas y técnicas necesarias para su adecuado desempeño profesional.","ValueSet/eis-TituloProfesional-VS"
